Symbol,5 Day,20 Day,50 Day,100 Day,200 Day,Ratio,Group
RGC,119.99,798.8,703.33,782.42,784.25,0.0071,Leaders
CRVO,16.71,381.73,393.83,-21.13,-52.72,0.0019,Leaders
TNXP,85.78,251.5,19.89,80.17,-102.64,0.0053,Leaders
GV,-28.89,237.68,106.62,239.8,4.32,0.0008,Leaders
MLGO,250.76,210.4,565.58,202.21,-103.18,0.0024,Leaders
RDUS,-1.0,122.97,160.75,87.28,76.9,0.005,Leaders
GDHG,68.66,112.12,-26.18,-8.14,-91.58,0.0003,Leaders
TSVT,-1.43,92.2,86.93,2.97,6.35,0.0009,Leaders
NIU,19.17,86.36,144.83,87.48,107.33,0.0007,Leaders
SSP,21.24,82.7,29.35,29.04,4.62,0.0005,Leaders
ROOT,15.01,82.48,132.06,370.65,249.17,0.0308,Leaders
CMRX,-1.27,82.18,146.1,877.71,785.74,0.0015,Leaders
MLYS,12.08,78.42,46.92,19.51,15.38,0.0028,Leaders
PRCH,7.43,78.16,49.13,436.64,248.29,0.0012,Leaders
ORGO,7.43,74.04,75.71,94.27,106.94,0.0009,Leaders
MASS,-9.05,69.88,112.45,29.57,-37.98,0.0007,Leaders
PRA,45.79,67.74,55.32,55.1,56.9,0.004,Leaders
XERS,15.07,59.72,77.25,84.14,144.02,0.001,Leaders
GRPN,10.95,54.4,49.76,76.21,10.69,0.0031,Leaders
TRVI,-3.77,52.1,61.35,105.83,136.21,0.0011,Leaders
TGTX,2.15,50.43,50.65,83.1,153.86,0.0074,Leaders
PTGX,-2.53,49.52,42.18,11.85,70.22,0.0091,Leaders
OMI,-7.71,48.68,-33.12,-30.17,-55.29,0.0016,Leaders
EVER,2.04,47.92,56.16,64.34,21.7,0.005,Leaders
CMTG,-1.87,45.77,7.7,-34.13,-56.14,0.0007,Leaders
LX,3.4,43.43,94.56,255.19,528.58,0.0019,Leaders
ARQT,3.67,43.15,15.77,98.3,110.42,0.003,Leaders
PPTA,2.77,42.46,-8.33,16.66,55.7,0.0019,Leaders
CKPT,-0.13,40.89,28.71,11.05,107.58,0.0007,Leaders
NAMS,1.2,40.51,-3.52,26.42,18.25,0.0042,Leaders
RDFN,-6.98,40.06,47.83,8.61,52.62,0.0019,Leaders
QBTS,-23.63,39.64,45.5,739.16,566.97,0.0015,Leaders
OUST,30.45,39.52,-8.21,49.57,-9.71,0.0019,Leaders
VRN,4.4,38.55,25.34,7.41,-21.68,0.0012,Leaders
KTOS,0.38,36.98,14.95,36.52,45.17,0.0056,Leaders
FSM,1.68,36.79,34.25,17.63,-8.49,0.001,Leaders
GOTU,-20.68,35.44,65.68,7.65,-49.95,0.0006,Leaders
QMCO,-21.5,34.56,-42.67,247.88,74.19,0.003,Leaders
ADMA,7.21,34.53,12.03,29.22,92.39,0.0035,Leaders
ORLA,-3.9,33.53,56.9,78.8,119.03,0.0016,Leaders
GEL,7.7,33.46,56.4,25.18,22.3,0.0027,Leaders
QURE,0.02,32.26,-4.68,126.71,163.51,0.0026,Leaders
JYD,23.18,32.03,142.94,461.62,603.41,0.0008,Leaders
ALHC,6.89,31.7,48.53,58.85,113.42,0.003,Leaders
OKTA,-0.99,31.66,38.73,61.8,25.36,0.0202,Leaders
MPW,-0.3,31.28,60.92,37.39,10.63,0.0011,Leaders
QUBT,7.47,31.16,-9.16,703.45,1148.18,0.0015,Leaders
GENI,14.83,30.07,26.59,55.75,106.62,0.0019,Leaders
AMLX,-0.83,29.6,2.81,-28.12,112.05,0.0007,Leaders
LNTH,-4.86,29.56,8.33,-9.15,12.98,0.0172,Leaders
RGNX,22.66,29.15,7.49,-6.25,-48.25,0.0015,Leaders
BZ,-3.88,28.67,52.77,35.08,-14.43,0.0035,Leaders
TIGR,9.16,28.15,44.05,43.35,109.02,0.0015,Leaders
SATL,-2.12,28.1,29.99,311.27,283.23,0.0007,Leaders
AEVA,67.66,27.69,7.18,17.74,44.4,0.0008,Leaders
VSTM,-6.47,27.35,19.16,117.05,77.96,0.0012,Leaders
NNE,5.95,27.12,25.24,72.39,382.49,0.0057,Leaders
ARIS,10.58,26.94,42.58,118.73,113.46,0.0056,Leaders
STRL,9.54,26.89,-17.27,-10.39,9.98,0.0232,Leaders
VSAT,9.38,26.71,27.02,10.08,-39.06,0.0019,Leaders
AGL,5.04,26.68,107.11,74.34,-36.63,0.0008,Leaders
HNRG,13.09,26.57,11.12,28.69,44.32,0.0023,Leaders
HII,-2.23,26.52,11.95,-17.0,-25.2,0.0357,Leaders
AG,-3.46,26.36,20.91,-8.49,-4.16,0.0012,Leaders
PHAT,33.7,26.26,-3.21,-58.49,-45.78,0.0011,Leaders
INDV,-0.53,26.03,-13.91,12.92,-53.11,0.0018,Leaders
APGE,-0.41,25.99,-14.46,-22.58,-16.14,0.0071,Leaders
AHCO,5.04,25.13,5.42,-1.74,2.96,0.0018,Leaders
EXK,-4.75,25.01,34.27,-12.87,18.75,0.0008,Leaders
NEXT,28.44,24.97,23.13,61.35,9.17,0.0016,Leaders
SBSW,4.24,24.89,25.56,-11.47,-13.84,0.0008,Leaders
CPRX,16.39,24.73,15.44,20.64,51.47,0.0045,Leaders
TH,5.38,24.59,-34.59,-17.84,-55.26,0.0011,Leaders
MQ,2.07,24.36,19.21,-14.77,-24.63,0.0008,Leaders
GTN,1.58,24.33,41.34,-8.59,-23.15,0.0008,Leaders
BVN,-1.69,24.23,24.42,16.16,-18.74,0.0027,Leaders
COMM,8.85,24.19,14.52,-6.05,270.08,0.001,Leaders
SIG,25.09,23.84,-15.19,-32.6,-51.55,0.0106,Leaders
DB,1.75,23.8,45.42,47.73,41.98,0.0043,Leaders
AES,-2.93,23.75,8.06,-21.34,-43.83,0.0022,Leaders
ERJ,-11.02,22.77,34.03,42.67,63.98,0.0086,Leaders
SPRY,11.05,22.63,15.32,-12.03,35.18,0.0022,Leaders
PUK,3.57,22.39,42.53,28.33,1.6,0.0037,Leaders
MSTR,12.46,22.33,3.76,43.96,95.86,0.0582,Leaders
AMPX,46.35,21.88,11.46,141.57,141.0,0.0006,Leaders
ACMR,-9.1,21.7,82.56,42.81,25.66,0.0048,Leaders
XPEV,-14.54,21.52,78.74,92.88,155.07,0.0037,Leaders
FINV,6.48,21.13,50.82,62.87,100.79,0.0017,Leaders
CDE,-4.27,20.83,-0.25,-7.24,5.86,0.0011,Leaders
STNE,9.46,20.79,44.58,-0.52,-24.27,0.002,Leaders
PDYN,-3.06,20.64,2.41,239.54,365.37,0.0013,Leaders
ALNY,13.22,20.38,23.39,2.75,85.11,0.0504,Leaders
EYE,11.22,20.33,31.67,39.72,-20.16,0.0024,Leaders
BWIN,11.34,20.2,28.29,-8.1,20.0,0.0079,Leaders
MUFG,3.93,19.99,23.66,43.85,26.84,0.0025,Leaders
AVXL,2.83,19.95,-13.38,84.1,124.25,0.0017,Leaders
DRS,0.85,19.61,4.85,21.22,34.97,0.0059,Leaders
CTRE,-0.97,19.42,10.27,-4.52,5.42,0.005,Leaders
LUV,6.81,19.38,9.14,20.41,19.31,0.006,Leaders
LAZR,-1.78,19.31,-15.59,-46.87,-79.83,0.0011,Leaders
SG,6.7,19.17,-16.38,-29.58,-24.71,0.0045,Leaders
VIPS,-8.97,18.92,27.43,17.16,-8.39,0.0028,Leaders
ING,-4.14,18.88,27.83,18.1,6.52,0.0034,Leaders
ACLX,-1.99,18.63,2.85,-13.33,31.17,0.0126,Leaders
TARS,8.63,18.58,-2.67,33.56,49.62,0.0091,Leaders
CTOS,7.25,18.56,16.99,59.65,3.2,0.0009,Leaders
ZI,3.0,18.44,17.74,6.23,-15.82,0.0019,Leaders
CCI,-0.27,18.18,23.75,-0.36,-1.94,0.0181,Leaders
HBM,1.35,18.11,-3.36,-13.13,-16.81,0.0014,Leaders
MT,-2.41,17.88,48.24,34.35,15.29,0.0055,Leaders
SPNT,5.92,17.64,11.24,21.25,18.05,0.0028,Leaders
PTCT,-1.87,17.62,29.17,40.65,41.44,0.0099,Leaders
SAN,-0.03,17.45,52.55,46.11,31.55,0.0012,Leaders
HMY,1.21,17.35,49.58,12.93,36.27,0.0022,Leaders
NGD,-5.5,17.34,20.43,12.85,49.33,0.0006,Leaders
GEO,9.14,17.18,-3.73,92.4,83.98,0.005,Leaders
CWEN,-1.02,17.15,20.37,19.05,3.38,0.0052,Leaders
CACI,-5.84,17.15,-8.14,-31.43,-21.02,0.0644,Leaders
NN,10.5,17.13,1.54,22.57,60.01,0.0022,Leaders
OCUL,-5.66,16.83,-11.55,-30.9,34.77,0.0013,Leaders
BUD,-4.47,16.48,28.04,-3.01,-9.97,0.0107,Leaders
QXO,4.52,16.07,-7.14,-7.85,-98.44,0.0024,Leaders
OLLI,3.11,16.02,6.16,20.0,22.91,0.0188,Leaders
UNH,1.87,16.0,1.44,-7.07,-5.19,0.0896,Leaders
YMM,-4.11,15.99,28.28,49.25,42.59,0.0023,Leaders
CE,0.91,15.97,-5.87,-52.9,-67.62,0.0103,Leaders
AM,1.58,15.97,19.23,22.28,20.7,0.0031,Leaders
LUMN,-5.77,15.84,-9.41,-23.84,276.71,0.0008,Leaders
IBN,4.5,15.79,10.89,8.13,14.95,0.0055,Leaders
EIX,-2.26,15.78,-13.15,-28.73,-30.06,0.0102,Leaders
FCX,3.69,15.73,7.65,-9.67,-24.45,0.0072,Leaders
SAND,-0.75,15.72,22.93,11.9,16.86,0.0012,Leaders
NFE,20.69,15.71,-12.42,42.13,-56.96,0.0021,Leaders
HL,-1.8,15.71,12.97,-12.7,-0.3,0.001,Leaders
MCW,1.33,15.67,21.3,30.11,11.98,0.0014,Leaders
LYG,1.07,15.66,46.32,29.85,28.28,0.0007,Leaders
AU,4.04,15.36,44.0,21.43,43.6,0.006,Leaders
CXW,-0.18,15.34,-8.77,49.49,15.43,0.0035,Leaders
YOU,-1.14,15.14,1.64,-23.1,50.32,0.0046,Leaders
FNV,-0.52,15.12,24.88,15.57,22.81,0.027,Leaders
UNM,0.49,15.08,17.43,36.59,53.59,0.0144,Leaders
SLNO,-0.6,15.0,15.17,-8.01,13.35,0.0087,Leaders
ELV,-2.41,14.96,14.49,1.99,-28.81,0.0741,Leaders
MOD,5.0,14.95,-20.81,-26.36,-9.25,0.0161,Leaders
EGO,-0.21,14.94,0.43,-8.91,-9.19,0.0027,Leaders
EBR,-1.07,14.87,29.04,9.28,-3.13,0.0013,Leaders
PBA,1.14,14.83,11.07,-4.9,3.23,0.007,Leaders
TRP,1.55,14.8,5.64,4.95,22.94,0.0085,Leaders
CELH,14.91,14.79,22.78,10.87,-60.16,0.006,Leaders
EZPW,6.19,14.72,27.78,29.39,36.27,0.0026,Leaders
HMC,-1.4,14.7,2.78,0.1,-17.13,0.0052,Leaders
RKT,-9.07,14.6,41.69,-10.04,-7.67,0.0024,Leaders
MWA,-1.81,14.5,28.56,29.45,48.74,0.0048,Leaders
AMT,-1.58,14.44,21.3,-2.94,-0.2,0.0369,Leaders
AGI,-2.25,14.39,35.34,24.29,48.27,0.0045,Leaders
GM,3.39,14.39,3.71,0.0,5.83,0.0089,Leaders
YUMC,-4.44,14.29,21.43,19.45,37.23,0.009,Leaders
NWG,0.22,14.28,29.87,32.71,47.12,0.0021,Leaders
OR,0.2,14.27,13.03,-0.03,16.7,0.0036,Leaders
GRRR,-9.3,14.21,65.25,511.01,342.41,0.0047,Leaders
NOC,-0.7,14.13,10.14,-3.14,2.82,0.0858,Leaders
KGC,-0.13,14.01,20.08,16.56,50.58,0.0021,Leaders
SAIC,-4.09,13.99,-1.19,-23.11,-15.04,0.0189,Leaders
ALL,-2.96,13.98,11.17,11.94,19.68,0.0359,Leaders
GNL,-3.59,13.94,15.29,4.33,8.15,0.0014,Leaders
HDB,5.15,13.9,11.52,4.08,9.54,0.0114,Leaders
ADT,5.39,13.9,18.33,4.77,5.86,0.0014,Leaders
FIHL,1.2,13.87,-0.54,-7.08,-5.86,0.0028,Leaders
HLX,4.25,13.8,-1.87,-6.69,-25.43,0.0015,Leaders
