Symbol,5 Day,20 Day,50 Day,100 Day,200 Day,Ratio,Group
CMRX,-1.27,82.18,146.1,877.71,785.74,0.0015,Leaders
RGC,119.99,798.8,703.33,782.42,784.25,0.0071,Leaders
QBTS,-23.63,39.64,45.5,739.16,566.97,0.0015,Leaders
QUBT,7.47,31.16,-9.16,703.45,1148.18,0.0015,Leaders
RGTI,-13.99,0.25,-0.04,702.34,849.82,0.0017,Leaders
LAES,-17.59,7.21,-37.55,692.68,180.91,0.0005,Leaders
GRRR,-9.3,14.21,65.25,511.01,342.41,0.0047,Leaders
KC,-14.22,-10.98,54.38,493.18,466.18,0.0027,Leaders
JYD,23.18,32.03,142.94,461.62,603.41,0.0008,Leaders
PRCH,7.43,78.16,49.13,436.64,248.29,0.0012,Leaders
STIM,-9.34,8.31,213.88,372.42,136.79,0.0008,Leaders
ROOT,15.01,82.48,132.06,370.65,249.17,0.0308,Leaders
SATL,-2.12,28.1,29.99,311.27,283.23,0.0007,Leaders
HSAI,-17.1,9.92,41.87,301.76,279.66,0.0033,Leaders
LX,3.4,43.43,94.56,255.19,528.58,0.0019,Leaders
QMCO,-21.5,34.56,-42.67,247.88,74.19,0.003,Leaders
GV,-28.89,237.68,106.62,239.8,4.32,0.0008,Leaders
PDYN,-3.06,20.64,2.41,239.54,365.37,0.0013,Leaders
CRNC,-5.89,-16.72,-34.32,239.05,203.66,0.0017,Leaders
DOMH,10.41,-23.97,386.69,221.65,156.72,0.001,Leaders
MLGO,250.76,210.4,565.58,202.21,-103.18,0.0024,Leaders
ACHR,5.83,10.55,-12.24,188.76,165.77,0.0015,Leaders
VNET,-22.63,-28.75,58.62,167.46,301.5,0.0016,Leaders
FNA,-1.71,3.3,28.15,166.55,74.1,0.0023,Leaders
BE,-6.42,5.06,-2.99,143.12,44.33,0.004,Leaders
AMPX,46.35,21.88,11.46,141.57,141.0,0.0006,Leaders
REAL,12.18,2.0,-20.02,131.41,65.68,0.0012,Leaders
AISP,9.4,-2.41,2.11,130.65,17.89,0.0008,Leaders
GH,7.32,13.74,30.29,128.59,57.99,0.0081,Leaders
INOD,-1.22,-18.5,28.01,127.89,206.03,0.008,Leaders
QURE,0.02,32.26,-4.68,126.71,163.51,0.0026,Leaders
BBAI,-0.2,-36.8,9.17,123.34,130.19,0.0006,Leaders
RCAT,1.65,-10.78,-46.9,123.0,517.18,0.001,Leaders
TUYA,-13.02,-2.31,112.13,120.82,83.44,0.0006,Leaders
ARIS,10.58,26.94,42.58,118.73,113.46,0.0056,Leaders
OPFI,16.53,3.6,35.51,117.13,226.28,0.0019,Leaders
VSTM,-6.47,27.35,19.16,117.05,77.96,0.0012,Leaders
PLTR,9.13,10.3,44.35,116.37,328.78,0.0168,Leaders
APP,9.08,-13.63,5.74,110.88,307.12,0.0589,Leaders
FUBO,0.24,-14.85,-36.33,110.31,154.71,0.0006,Leaders
TRVI,-3.77,52.1,61.35,105.83,136.21,0.0011,Leaders
LMND,-1.82,9.97,9.72,100.97,119.4,0.0064,Leaders
ATEC,5.96,1.1,11.14,100.51,1.54,0.0018,Leaders
