Symbol,5 Day,20 Day,50 Day,100 Day,200 Day,Ratio,Group
RGC,119.99,798.8,703.33,782.42,784.25,0.0071,Leaders
MLGO,250.76,210.4,565.58,202.21,-103.18,0.0024,Leaders
CRVO,16.71,381.73,393.83,-21.13,-52.72,0.0019,Leaders
DOMH,10.41,-23.97,386.69,221.65,156.72,0.001,Leaders
STIM,-9.34,8.31,213.88,372.42,136.79,0.0008,Leaders
RDUS,-1.0,122.97,160.75,87.28,76.9,0.005,Leaders
CMRX,-1.27,82.18,146.1,877.71,785.74,0.0015,Leaders
NIU,19.17,86.36,144.83,87.48,107.33,0.0007,Leaders
JYD,23.18,32.03,142.94,461.62,603.41,0.0008,Leaders
ROOT,15.01,82.48,132.06,370.65,249.17,0.0308,Leaders
MASS,-9.05,69.88,112.45,29.57,-37.98,0.0007,Leaders
TUYA,-13.02,-2.31,112.13,120.82,83.44,0.0006,Leaders
AGL,5.04,26.68,107.11,74.34,-36.63,0.0008,Leaders
GV,-28.89,237.68,106.62,239.8,4.32,0.0008,Leaders
AIFF,-10.62,-28.78,104.24,32.92,-41.77,0.0008,Leaders
APPS,-6.33,-3.04,99.84,19.2,117.71,0.0006,Leaders
LX,3.4,43.43,94.56,255.19,528.58,0.0019,Leaders
TSVT,-1.43,92.2,86.93,2.97,6.35,0.0009,Leaders
ACMR,-9.1,21.7,82.56,42.81,25.66,0.0048,Leaders
XPEV,-14.54,21.52,78.74,92.88,155.07,0.0037,Leaders
XERS,15.07,59.72,77.25,84.14,144.02,0.001,Leaders
LTBR,-1.84,1.03,77.22,29.27,269.0,0.0016,Leaders
ORGO,7.43,74.04,75.71,94.27,106.94,0.0009,Leaders
AKRO,-1.05,-5.51,74.87,54.4,125.55,0.0078,Leaders
COMP,5.15,9.21,74.46,71.09,155.74,0.0017,Leaders
NVRO,-1.46,4.83,68.45,27.12,-46.41,0.001,Leaders
GOTU,-20.68,35.44,65.68,7.65,-49.95,0.0006,Leaders
GRRR,-9.3,14.21,65.25,511.01,342.41,0.0047,Leaders
BABA,-10.5,7.82,63.23,38.74,66.15,0.0233,Leaders
ITCI,-1.44,6.04,62.07,74.42,85.02,0.0228,Leaders
TRVI,-3.77,52.1,61.35,105.83,136.21,0.0011,Leaders
MPW,-0.3,31.28,60.92,37.39,10.63,0.0011,Leaders
EH,-10.54,1.39,59.08,34.4,30.62,0.004,Leaders
AXSM,1.15,2.42,58.98,44.43,69.81,0.0224,Leaders
VNET,-22.63,-28.75,58.62,167.46,301.5,0.0016,Leaders
ORLA,-3.9,33.53,56.9,78.8,119.03,0.0016,Leaders
GEL,7.7,33.46,56.4,25.18,22.3,0.0027,Leaders
EVER,2.04,47.92,56.16,64.34,21.7,0.005,Leaders
PRA,45.79,67.74,55.32,55.1,56.9,0.004,Leaders
KC,-14.22,-10.98,54.38,493.18,466.18,0.0027,Leaders
BZ,-3.88,28.67,52.77,35.08,-14.43,0.0035,Leaders
SAN,-0.03,17.45,52.55,46.11,31.55,0.0012,Leaders
CVS,-0.25,10.82,51.27,21.83,7.12,0.0117,Leaders
FINV,6.48,21.13,50.82,62.87,100.79,0.0017,Leaders
TGTX,2.15,50.43,50.65,83.1,153.86,0.0074,Leaders
GRPN,10.95,54.4,49.76,76.21,10.69,0.0031,Leaders
HMY,1.21,17.35,49.58,12.93,36.27,0.0022,Leaders
PRCH,7.43,78.16,49.13,436.64,248.29,0.0012,Leaders
ALHC,6.89,31.7,48.53,58.85,113.42,0.003,Leaders
MT,-2.41,17.88,48.24,34.35,15.29,0.0055,Leaders
HIMS,6.21,-23.49,47.94,72.86,70.6,0.0065,Leaders
RDFN,-6.98,40.06,47.83,8.61,52.62,0.0019,Leaders
VRNA,-1.3,5.4,47.09,97.92,442.9,0.0116,Leaders
MLYS,12.08,78.42,46.92,19.51,15.38,0.0028,Leaders
SSRM,-3.27,6.85,46.87,76.47,120.51,0.0019,Leaders
OPCH,0.79,11.8,46.33,18.56,5.48,0.006,Leaders
LYG,1.07,15.66,46.32,29.85,28.28,0.0007,Leaders
GFI,-2.02,10.24,45.59,18.17,27.98,0.0036,Leaders
QBTS,-23.63,39.64,45.5,739.16,566.97,0.0015,Leaders
DB,1.75,23.8,45.42,47.73,41.98,0.0043,Leaders
STNE,9.46,20.79,44.58,-0.52,-24.27,0.002,Leaders
PLTR,9.13,10.3,44.35,116.37,328.78,0.0168,Leaders
TIGR,9.16,28.15,44.05,43.35,109.02,0.0015,Leaders
AU,4.04,15.36,44.0,21.43,43.6,0.006,Leaders
WNS,-2.59,13.21,43.55,33.91,16.13,0.0109,Leaders
SAGE,0.74,13.22,42.89,3.2,-32.13,0.0014,Leaders
ARIS,10.58,26.94,42.58,118.73,113.46,0.0056,Leaders
PUK,3.57,22.39,42.53,28.33,1.6,0.0037,Leaders
PTGX,-2.53,49.52,42.18,11.85,70.22,0.0091,Leaders
HSAI,-17.1,9.92,41.87,301.76,279.66,0.0033,Leaders
BBVA,-4.11,13.2,41.78,46.68,32.84,0.0025,Leaders
FUTU,-9.61,1.32,41.72,19.84,39.39,0.0187,Leaders
RKT,-9.07,14.6,41.69,-10.04,-7.67,0.0024,Leaders
GTN,1.58,24.33,41.34,-8.59,-23.15,0.0008,Leaders
PTLO,-5.91,-2.44,41.13,-0.39,18.37,0.0022,Leaders
LTH,5.43,8.35,40.25,38.81,79.12,0.0056,Leaders
TAL,-10.15,1.66,40.01,20.01,10.74,0.0023,Leaders
PGY,6.73,-4.72,39.55,4.36,2.97,0.0022,Leaders
TGI,-1.31,4.36,39.26,75.27,72.15,0.0044,Leaders
MP,-2.49,12.63,39.08,42.65,62.71,0.0046,Leaders
OKTA,-0.99,31.66,38.73,61.8,25.36,0.0202,Leaders
FLG,0.71,5.35,37.2,17.21,22.44,0.0021,Leaders
PBI,1.79,-5.25,36.49,38.62,75.64,0.0017,Leaders
PCRX,4.93,1.98,36.24,48.29,-27.61,0.0043,Leaders
CRSR,-3.76,-9.57,36.23,60.7,-20.97,0.0017,Leaders
XP,-6.29,4.84,35.94,-15.65,-31.38,0.0026,Leaders
OPFI,16.53,3.6,35.51,117.13,226.28,0.0019,Leaders
AGI,-2.25,14.39,35.34,24.29,48.27,0.0045,Leaders
PAGS,-1.99,10.16,34.76,0.94,-39.16,0.0014,Leaders
INTR,-8.28,12.75,34.55,-12.33,-9.53,0.001,Leaders
EXK,-4.75,25.01,34.27,-12.87,18.75,0.0008,Leaders
SVM,-4.52,12.52,34.25,-13.19,0.89,0.0007,Leaders
FSM,1.68,36.79,34.25,17.63,-8.49,0.001,Leaders
ERJ,-11.02,22.77,34.03,42.67,63.98,0.0086,Leaders
TWI,5.86,6.97,33.43,28.21,4.81,0.0015,Leaders
SWI,-1.19,4.26,33.41,47.78,50.72,0.0032,Leaders
ANAB,11.7,12.38,32.84,-40.89,-30.15,0.0032,Leaders
ASTS,2.94,6.16,32.71,15.06,228.95,0.0051,Leaders
TME,6.95,12.85,32.4,24.11,-7.71,0.0025,Leaders
RPRX,0.58,3.46,32.22,27.81,18.76,0.0059,Leaders
WPM,-3.09,12.41,32.13,13.98,33.26,0.013,Leaders
ADPT,13.23,6.46,31.99,95.3,146.46,0.0015,Leaders
EYE,11.22,20.33,31.67,39.72,-20.16,0.0024,Leaders
DAN,0.17,0.08,31.49,48.61,2.0,0.0026,Leaders
DNOW,8.35,2.65,30.94,40.3,13.26,0.0029,Leaders
SMCI,-2.15,-15.56,30.48,-11.04,-54.93,0.0072,Leaders
GH,7.32,13.74,30.29,128.59,57.99,0.0081,Leaders
PDD,-2.23,10.58,30.26,5.31,-21.17,0.0222,Leaders
SATL,-2.12,28.1,29.99,311.27,283.23,0.0007,Leaders
NWG,0.22,14.28,29.87,32.71,47.12,0.0021,Leaders
SSP,21.24,82.7,29.35,29.04,4.62,0.0005,Leaders
PTCT,-1.87,17.62,29.17,40.65,41.44,0.0099,Leaders
EBR,-1.07,14.87,29.04,9.28,-3.13,0.0013,Leaders
BBIO,11.12,6.28,28.93,56.82,28.19,0.0065,Leaders
CKPT,-0.13,40.89,28.71,11.05,107.58,0.0007,Leaders
SPOT,-0.42,4.12,28.6,60.18,76.11,0.1048,Leaders
MWA,-1.81,14.5,28.56,29.45,48.74,0.0048,Leaders
BWIN,11.34,20.2,28.29,-8.1,20.0,0.0079,Leaders
YMM,-4.11,15.99,28.28,49.25,42.59,0.0023,Leaders
NFG,-0.01,10.37,28.26,28.49,32.99,0.0136,Leaders
X,0.96,12.78,28.25,7.05,-0.56,0.0071,Leaders
LQDA,4.25,2.16,28.23,42.93,0.82,0.0027,Leaders
FNA,-1.71,3.3,28.15,166.55,74.1,0.0023,Leaders
BUD,-4.47,16.48,28.04,-3.01,-9.97,0.0107,Leaders
PM,-3.44,1.43,28.01,19.74,43.57,0.0263,Leaders
INOD,-1.22,-18.5,28.01,127.89,206.03,0.008,Leaders
TIMB,-2.55,5.3,27.94,4.04,-8.77,0.0026,Leaders
BROS,12.11,-2.85,27.9,98.98,88.56,0.0122,Leaders
ING,-4.14,18.88,27.83,18.1,6.52,0.0034,Leaders
LNW,0.69,10.07,27.8,13.32,1.68,0.0186,Leaders
EZPW,6.19,14.72,27.78,29.39,36.27,0.0026,Leaders
AEM,-2.67,10.47,27.52,20.61,52.01,0.0181,Leaders
VIPS,-8.97,18.92,27.43,17.16,-8.39,0.0028,Leaders
HE,-2.08,4.6,27.24,14.65,-1.76,0.0019,Leaders
ETNB,3.54,-6.07,27.04,16.96,1.24,0.0016,Leaders
CHKP,-2.64,9.57,27.03,10.78,42.0,0.0395,Leaders
VSAT,9.38,26.71,27.02,10.08,-39.06,0.0019,Leaders
BHF,2.57,3.44,26.82,25.86,27.66,0.0103,Leaders
BEKE,-19.37,4.88,26.73,0.02,16.47,0.0036,Leaders
VRTX,-2.02,9.85,26.72,7.82,-1.25,0.0887,Leaders
GENI,14.83,30.07,26.59,55.75,106.62,0.0019,Leaders
SRAD,11.29,11.29,26.41,87.31,112.48,0.004,Leaders
LU,-8.21,2.94,26.2,8.28,37.8,0.0005,Leaders
BCS,0.81,11.31,25.93,29.96,39.61,0.0028,Leaders
BKD,-3.74,10.34,25.91,-0.94,-19.15,0.001,Leaders
T,-1.14,4.43,25.64,25.77,43.96,0.0047,Leaders
SBSW,4.24,24.89,25.56,-11.47,-13.84,0.0008,Leaders
VRN,4.4,38.55,25.34,7.41,-21.68,0.0012,Leaders
NNE,5.95,27.12,25.24,72.39,382.49,0.0057,Leaders
JD,-7.47,11.9,25.16,7.39,32.57,0.0074,Leaders
YUM,-2.46,7.33,25.1,18.94,2.7,0.027,Leaders
HOUS,5.39,6.58,25.05,2.03,-10.8,0.0007,Leaders
ALKS,-0.41,1.55,24.96,34.04,38.1,0.006,Leaders
FNV,-0.52,15.12,24.88,15.57,22.81,0.027,Leaders
BVN,-1.69,24.23,24.42,16.16,-18.74,0.0027,Leaders
HLF,-5.89,-3.41,24.38,20.91,-34.51,0.0014,Leaders
INTC,-7.35,3.4,24.38,7.49,-27.84,0.0042,Leaders
GE,2.43,9.6,24.37,18.49,22.14,0.0365,Leaders
TWO,-2.49,3.1,24.35,11.54,8.97,0.0024,Leaders
SONY,1.47,5.5,24.21,44.11,37.87,0.0044,Leaders
CCI,-0.27,18.18,23.75,-0.36,-1.94,0.0181,Leaders
MUFG,3.93,19.99,23.66,43.85,26.84,0.0025,Leaders
HSBC,-1.35,10.94,23.65,36.91,28.27,0.0101,Leaders
ED,-2.36,10.78,23.64,4.63,7.96,0.0185,Leaders
WBA,-2.61,6.65,23.48,24.77,-35.98,0.0019,Leaders
ALNY,13.22,20.38,23.39,2.75,85.11,0.0504,Leaders
PGNY,3.82,-0.65,23.37,43.42,-27.78,0.0038,Leaders
AMPS,-2.03,4.63,23.33,45.14,12.67,0.0009,Leaders
INSM,0.44,2.79,23.33,12.56,30.26,0.0138,Leaders
ITUB,-3.4,12.5,23.24,0.31,-4.24,0.001,Leaders
PAAS,-4.74,8.64,23.21,5.8,20.24,0.0045,Leaders
LNC,-0.79,3.5,23.19,19.04,11.5,0.0065,Leaders
DOCS,4.63,-4.9,23.16,61.52,130.41,0.0115,Leaders
GILD,-6.55,0.42,23.13,22.49,63.61,0.0185,Leaders
NEXT,28.44,24.97,23.13,61.35,9.17,0.0016,Leaders
TMUS,-2.09,0.51,23.1,15.9,38.05,0.0449,Leaders
