Symbol,5 Day,20 Day,50 Day,100 Day,200 Day,Ratio,Group
QUBT,7.47,31.16,-9.16,703.45,1148.18,0.0015,Leaders
RGTI,-13.99,0.25,-0.04,702.34,849.82,0.0017,Leaders
CMRX,-1.27,82.18,146.1,877.71,785.74,0.0015,Leaders
RGC,119.99,798.8,703.33,782.42,784.25,0.0071,Leaders
JYD,23.18,32.03,142.94,461.62,603.41,0.0008,Leaders
QBTS,-23.63,39.64,45.5,739.16,566.97,0.0015,Leaders
LX,3.4,43.43,94.56,255.19,528.58,0.0019,Leaders
RCAT,1.65,-10.78,-46.9,123.0,517.18,0.001,Leaders
EOSE,2.94,5.72,-13.48,30.94,508.9,0.0008,Leaders
KC,-14.22,-10.98,54.38,493.18,466.18,0.0027,Leaders
VRNA,-1.3,5.4,47.09,97.92,442.9,0.0116,Leaders
TSSI,6.7,-13.87,-11.36,43.05,411.51,0.0018,Leaders
NNE,5.95,27.12,25.24,72.39,382.49,0.0057,Leaders
PDYN,-3.06,20.64,2.41,239.54,365.37,0.0013,Leaders
RKLB,4.18,-6.53,-23.59,81.47,363.2,0.0035,Leaders
GRRR,-9.3,14.21,65.25,511.01,342.41,0.0047,Leaders
PLTR,9.13,10.3,44.35,116.37,328.78,0.0168,Leaders
WGS,7.61,12.23,9.4,76.13,319.17,0.0179,Leaders
APP,9.08,-13.63,5.74,110.88,307.12,0.0589,Leaders
VNET,-22.63,-28.75,58.62,167.46,301.5,0.0016,Leaders
SATL,-2.12,28.1,29.99,311.27,283.23,0.0007,Leaders
HSAI,-17.1,9.92,41.87,301.76,279.66,0.0033,Leaders
LUMN,-5.77,15.84,-9.41,-23.84,276.71,0.0008,Leaders
COMM,8.85,24.19,14.52,-6.05,270.08,0.001,Leaders
LTBR,-1.84,1.03,77.22,29.27,269.0,0.0016,Leaders
OKLO,8.76,-5.7,20.88,62.45,251.68,0.0054,Leaders
AUR,7.98,12.59,-2.61,19.89,251.38,0.0013,Leaders
ROOT,15.01,82.48,132.06,370.65,249.17,0.0308,Leaders
PRCH,7.43,78.16,49.13,436.64,248.29,0.0012,Leaders
SRRK,-4.25,-5.41,-14.69,13.74,236.0,0.0059,Leaders
CLOV,1.34,-5.25,7.22,-2.11,234.24,0.0007,Leaders
GDS,-21.49,-24.62,1.06,32.9,232.88,0.0049,Leaders
IONQ,3.14,-12.78,-11.11,54.71,229.78,0.0045,Leaders
ASTS,2.94,6.16,32.71,15.06,228.95,0.0051,Leaders
OPFI,16.53,3.6,35.51,117.13,226.28,0.0019,Leaders
ALLT,15.52,6.93,-2.99,98.1,210.16,0.0012,Leaders
INOD,-1.22,-18.5,28.01,127.89,206.03,0.008,Leaders
CRNC,-5.89,-16.72,-34.32,239.05,203.66,0.0017,Leaders
LAES,-17.59,7.21,-37.55,692.68,180.91,0.0005,Leaders
SERV,-2.14,-21.27,-51.08,-19.32,180.59,0.0014,Leaders
SEI,15.14,-25.34,-14.87,80.48,178.46,0.0041,Leaders
PSNL,-0.58,-12.46,-28.88,-17.77,175.44,0.0007,Leaders
SMMT,1.15,13.42,12.48,-1.98,174.23,0.0036,Leaders
TVTX,0.38,3.89,14.6,22.15,168.57,0.0037,Leaders
ACHR,5.83,10.55,-12.24,188.76,165.77,0.0015,Leaders
QURE,0.02,32.26,-4.68,126.71,163.51,0.0026,Leaders
SMR,5.64,5.88,-1.52,3.25,161.49,0.0033,Leaders
DOMH,10.41,-23.97,386.69,221.65,156.72,0.001,Leaders
COMP,5.15,9.21,74.46,71.09,155.74,0.0017,Leaders
AXGN,-2.34,4.38,21.41,37.06,155.58,0.0031,Leaders
XPEV,-14.54,21.52,78.74,92.88,155.07,0.0037,Leaders
FUBO,0.24,-14.85,-36.33,110.31,154.71,0.0006,Leaders
TGTX,2.15,50.43,50.65,83.1,153.86,0.0074,Leaders
ADPT,13.23,6.46,31.99,95.3,146.46,0.0015,Leaders
XERS,15.07,59.72,77.25,84.14,144.02,0.001,Leaders
AMPX,46.35,21.88,11.46,141.57,141.0,0.0006,Leaders
STIM,-9.34,8.31,213.88,372.42,136.79,0.0008,Leaders
TRVI,-3.77,52.1,61.35,105.83,136.21,0.0011,Leaders
DOCS,4.63,-4.9,23.16,61.52,130.41,0.0115,Leaders
BBAI,-0.2,-36.8,9.17,123.34,130.19,0.0006,Leaders
RBRK,2.07,12.08,18.8,87.14,129.89,0.0127,Leaders
QFIN,-7.32,13.49,21.05,28.35,128.11,0.0077,Leaders
AKRO,-1.05,-5.51,74.87,54.4,125.55,0.0078,Leaders
POET,1.86,3.36,-22.14,8.77,125.46,0.0007,Leaders
AVXL,2.83,19.95,-13.38,84.1,124.25,0.0017,Leaders
HOOD,13.46,0.46,21.05,79.41,123.72,0.0084,Leaders
SSRM,-3.27,6.85,46.87,76.47,120.51,0.0019,Leaders
RDDT,-2.12,-20.93,-24.82,54.26,120.25,0.0217,Leaders
CAPR,1.48,-4.49,-1.64,-38.33,119.97,0.0023,Leaders
LMND,-1.82,9.97,9.72,100.97,119.4,0.0064,Leaders
ORLA,-3.9,33.53,56.9,78.8,119.03,0.0016,Leaders
CMPO,1.69,-9.57,-2.92,-8.13,117.81,0.002,Leaders
APPS,-6.33,-3.04,99.84,19.2,117.71,0.0006,Leaders
UNFI,1.99,-8.92,-2.31,39.06,117.11,0.0048,Leaders
UPST,8.56,-18.18,-4.34,9.71,115.97,0.0096,Leaders
PL,-5.71,-10.74,5.64,74.61,115.72,0.0007,Leaders
RDW,3.38,-26.18,-26.33,34.92,114.88,0.002,Leaders
ARIS,10.58,26.94,42.58,118.73,113.46,0.0056,Leaders
ALHC,6.89,31.7,48.53,58.85,113.42,0.003,Leaders
AAOI,4.57,-14.84,-28.62,28.45,112.69,0.0039,Leaders
SRAD,11.29,11.29,26.41,87.31,112.48,0.004,Leaders
AMLX,-0.83,29.6,2.81,-28.12,112.05,0.0007,Leaders
ARQT,3.67,43.15,15.77,98.3,110.42,0.003,Leaders
SUPV,0.41,4.11,-22.01,59.02,109.44,0.0024,Leaders
TIGR,9.16,28.15,44.05,43.35,109.02,0.0015,Leaders
REPL,-7.83,-15.2,-1.62,-5.1,108.95,0.0019,Leaders
CKPT,-0.13,40.89,28.71,11.05,107.58,0.0007,Leaders
NIU,19.17,86.36,144.83,87.48,107.33,0.0007,Leaders
ORGO,7.43,74.04,75.71,94.27,106.94,0.0009,Leaders
BBAR,1.57,4.29,-12.78,42.04,106.7,0.0033,Leaders
GENI,14.83,30.07,26.59,55.75,106.62,0.0019,Leaders
EAT,7.2,4.31,13.03,63.15,106.11,0.0267,Leaders
AHR,0.83,13.33,10.03,19.45,102.36,0.0053,Leaders
CVNA,12.92,2.67,10.99,6.18,102.31,0.037,Leaders
GEV,1.87,12.36,-3.71,17.83,101.89,0.0596,Leaders
FINV,6.48,21.13,50.82,62.87,100.79,0.0017,Leaders
SOUN,0.65,12.94,-28.81,99.73,100.13,0.0018,Leaders
MSTR,12.46,22.33,3.76,43.96,95.86,0.0582,Leaders
CRMD,1.24,10.24,2.18,-16.71,95.75,0.0019,Leaders
CRDO,5.84,-12.49,-28.25,29.67,95.74,0.0088,Leaders
SOFI,9.73,-0.85,-3.16,25.54,95.17,0.0024,Leaders
PTON,9.45,-12.83,-12.63,17.26,93.21,0.0013,Leaders
ADMA,7.21,34.53,12.03,29.22,92.39,0.0035,Leaders
TLN,4.15,5.05,4.11,21.5,92.32,0.038,Leaders
SGHC,2.99,-10.47,22.96,69.85,90.08,0.0012,Leaders
MD,0.48,-3.67,16.76,17.86,89.36,0.0025,Leaders
BROS,12.11,-2.85,27.9,98.98,88.56,0.0122,Leaders
CNTA,-4.94,9.8,5.84,7.99,88.04,0.0029,Leaders
CRVS,-11.59,7.52,-22.23,-48.16,87.76,0.0007,Leaders
ATYR,-9.36,0.21,1.48,14.54,85.74,0.0006,Leaders
AS,1.77,6.65,-0.93,62.98,85.65,0.0051,Leaders
ALNY,13.22,20.38,23.39,2.75,85.11,0.0504,Leaders
ITCI,-1.44,6.04,62.07,74.42,85.02,0.0228,Leaders
GRND,5.34,-1.18,7.16,38.7,85.0,0.0031,Leaders
HNST,-1.63,-5.57,-16.1,44.55,84.61,0.0009,Leaders
GEO,9.14,17.18,-3.73,92.4,83.98,0.005,Leaders
TUYA,-13.02,-2.31,112.13,120.82,83.44,0.0006,Leaders
PRTH,2.51,-21.51,-26.84,53.74,82.67,0.0014,Leaders
CLBT,4.91,8.51,-6.39,9.39,81.97,0.0034,Leaders
CLS,7.31,-6.23,0.12,44.8,80.68,0.0173,Leaders
LUNR,14.93,-42.06,-48.39,16.09,79.16,0.0016,Leaders
LTH,5.43,8.35,40.25,38.81,79.12,0.0056,Leaders
APLD,7.23,-7.81,-5.67,0.08,79.0,0.0014,Leaders
PYCR,-1.49,4.55,3.63,56.87,78.69,0.0039,Leaders
TWLO,4.21,-6.35,-1.77,51.5,78.29,0.0184,Leaders
GGAL,-2.59,2.92,-16.13,7.84,78.22,0.01,Leaders
VSTM,-6.47,27.35,19.16,117.05,77.96,0.0012,Leaders
RDUS,-1.0,122.97,160.75,87.28,76.9,0.005,Leaders
SFM,1.51,4.96,6.27,22.57,76.6,0.0252,Leaders
SPOT,-0.42,4.12,28.6,60.18,76.11,0.1048,Leaders
SE,-4.01,5.41,20.95,31.29,75.76,0.0224,Leaders
PBI,1.79,-5.25,36.49,38.62,75.64,0.0017,Leaders
SWIM,-2.37,7.66,4.85,3.0,75.25,0.0012,Leaders
QMCO,-21.5,34.56,-42.67,247.88,74.19,0.003,Leaders
FNA,-1.71,3.3,28.15,166.55,74.1,0.0023,Leaders
GWRE,1.47,1.46,17.59,6.22,73.74,0.0342,Leaders
LRN,1.2,-2.88,17.55,38.1,73.66,0.0217,Leaders
NET,5.19,-12.66,9.66,40.32,73.2,0.0215,Leaders
DATS,-13.47,-12.35,-30.16,34.86,72.51,0.0004,Leaders
TGI,-1.31,4.36,39.26,75.27,72.15,0.0044,Leaders
EVRI,-0.97,2.73,3.58,3.33,71.93,0.0024,Leaders
CORT,1.12,-0.18,17.6,26.48,71.92,0.0103,Leaders
TPR,4.69,-6.28,13.52,52.15,71.55,0.0131,Leaders
SHOP,11.51,-1.76,4.07,38.94,71.09,0.0189,Leaders
HIMS,6.21,-23.49,47.94,72.86,70.6,0.0065,Leaders
PTGX,-2.53,49.52,42.18,11.85,70.22,0.0091,Leaders
VIRT,6.13,13.13,8.37,27.91,70.18,0.0067,Leaders
AXSM,1.15,2.42,58.98,44.43,69.81,0.0224,Leaders
DASH,3.17,5.19,17.09,30.01,69.78,0.0345,Leaders
YPF,-1.66,3.03,-17.64,41.71,69.35,0.0063,Leaders
SOC,0.46,-8.15,16.3,25.83,69.31,0.0045,Leaders
INTA,1.02,-2.89,-0.17,23.35,69.2,0.0107,Leaders
TRGP,2.62,6.87,9.7,25.21,69.02,0.0355,Leaders
UNIT,-2.6,-8.18,-3.72,-6.59,68.08,0.0009,Leaders
CRK,5.8,9.57,5.71,69.36,68.08,0.0035,Leaders
Z,2.19,1.61,6.18,24.17,66.69,0.0128,Leaders
BABA,-10.5,7.82,63.23,38.74,66.15,0.0233,Leaders
RBLX,5.76,3.78,1.14,45.88,65.8,0.0106,Leaders
REAL,12.18,2.0,-20.02,131.41,65.68,0.0012,Leaders
AFRM,7.92,-17.4,-7.9,29.79,65.32,0.0091,Leaders
ADTN,1.09,-7.77,-7.56,50.62,65.31,0.0016,Leaders
EXEL,0.26,5.19,11.88,36.04,64.5,0.0065,Leaders
IMAX,6.98,6.35,17.06,32.42,64.35,0.0047,Leaders
ERJ,-11.02,22.77,34.03,42.67,63.98,0.0086,Leaders
GILD,-6.55,0.42,23.13,22.49,63.61,0.0185,Leaders
ATAT,-4.98,5.25,19.62,17.14,63.4,0.0052,Leaders
AVPT,3.05,-5.84,-4.55,29.8,62.94,0.0027,Leaders
MP,-2.49,12.63,39.08,42.65,62.71,0.0046,Leaders
DUOL,10.55,-11.76,4.67,13.86,62.28,0.0572,Leaders
LITE,6.16,5.21,-11.02,15.08,62.15,0.0128,Leaders
FTNT,1.6,-4.58,6.45,24.91,61.17,0.0173,Leaders
NN,10.5,17.13,1.54,22.57,60.01,0.0022,Leaders
DOCU,5.05,9.95,1.98,29.7,58.29,0.0154,Leaders
GH,7.32,13.74,30.29,128.59,57.99,0.0081,Leaders
VNO,1.73,5.44,1.22,-6.47,57.28,0.0068,Leaders
PRA,45.79,67.74,55.32,55.1,56.9,0.004,Leaders
HWM,3.65,8.65,20.93,35.13,56.78,0.0236,Leaders
PPTA,2.77,42.46,-8.33,16.66,55.7,0.0019,Leaders
TDS,4.18,5.99,14.85,30.39,55.23,0.0065,Leaders
BB,-3.4,-13.56,12.18,86.47,54.84,0.0008,Leaders
FFIV,0.94,-2.84,8.52,27.18,54.46,0.0476,Leaders
BTDR,9.54,-7.46,-34.75,55.41,53.94,0.002,Leaders
BTSG,5.48,-0.15,10.46,21.28,53.8,0.0032,Leaders
UNM,0.49,15.08,17.43,36.59,53.59,0.0144,Leaders
WVE,-2.61,-0.31,-16.89,-29.61,53.42,0.0017,Leaders
RELY,5.75,-11.61,-6.84,42.61,53.1,0.0036,Leaders
AUPH,-0.08,9.57,4.82,21.69,52.86,0.0015,Leaders
SNAP,4.49,-4.84,-18.22,-8.01,-44.93,0.0017,Laggards
DINO,-2.64,-5.17,-0.58,-20.05,-44.95,0.0057,Laggards
ZIP,0.55,-9.02,-8.03,-32.82,-45.1,0.0011,Laggards
ON,2.07,-10.85,-19.11,-35.19,-45.13,0.0079,Laggards
FRO,0.76,3.24,5.45,-18.78,-45.17,0.0028,Laggards
SRPT,-26.32,-24.09,-37.0,-41.1,-45.24,0.0132,Laggards
CERT,-3.98,-10.5,0.37,6.38,-45.25,0.0019,Laggards
LW,-1.01,6.74,-8.35,-28.44,-45.4,0.0094,Laggards
SHOO,4.85,-24.68,-30.37,-38.01,-45.44,0.0048,Laggards
CLDX,0.48,1.03,-19.13,-22.2,-45.57,0.0036,Laggards
PHAT,33.7,26.26,-3.21,-58.49,-45.78,0.0011,Laggards
DG,2.52,8.83,18.66,4.97,-45.97,0.0144,Laggards
CPRI,-1.91,3.84,1.43,0.75,-46.15,0.0037,Laggards
TTD,3.4,-16.42,-48.62,-49.63,-46.19,0.0103,Laggards
NVRO,-1.46,4.83,68.45,27.12,-46.41,0.001,Laggards
EDU,-8.01,1.46,-22.87,-21.01,-46.64,0.0082,Laggards
FLWS,7.23,-16.66,-14.53,-23.0,-46.75,0.001,Laggards
INSW,-2.29,-2.96,-5.56,-19.45,-47.04,0.006,Laggards
SFL,-3.3,-8.57,-20.05,-21.35,-47.44,0.0014,Laggards
BTU,6.99,0.66,-20.82,-39.43,-47.69,0.0025,Laggards
ARWR,-2.27,-14.21,-18.97,-22.19,-47.71,0.0027,Laggards
JBI,-4.67,3.35,16.55,-19.58,-48.08,0.0014,Laggards
APLS,-5.01,-7.89,-23.94,-8.37,-48.09,0.0042,Laggards
SYM,3.7,-0.0,-8.61,-13.6,-48.09,0.0041,Laggards
SLDB,-12.45,-10.73,21.16,-15.59,-48.11,0.0008,Laggards
GO,-2.63,-15.26,-18.9,-22.86,-48.18,0.0022,Laggards
RGNX,22.66,29.15,7.49,-6.25,-48.25,0.0015,Laggards
CARS,4.59,-18.41,-24.56,-21.27,-48.31,0.0021,Laggards
GOOS,-0.57,-22.21,-12.44,-14.96,-48.47,0.0015,Laggards
BIIB,-2.98,3.84,-3.52,-21.37,-48.52,0.0246,Laggards
